PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
0095 CELAYA," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),280,95,95,2,1,1,1107,0,825,4
0095 CELAYA," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),207,95,95,2,1,1,1107,0,825,4
0095 CELAYA," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),195,95,95,2,1,1,1107,0,825,4
0095 CELAYA,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),9,95,95,2,1,1,1107,1,825,4
0115 CLUB WEST," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),444,115,115,2,1,1,2460,0,2176,28
0115 CLUB WEST," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),497,115,115,2,1,1,2460,0,2176,28
0115 CLUB WEST," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),491,115,115,2,1,1,2460,0,2176,28
0115 CLUB WEST," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),585,115,115,2,1,1,2460,0,2176,28
0115 CLUB WEST," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),433,115,115,2,1,1,2460,0,2176,28
0115 CLUB WEST,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),10,115,115,2,1,1,2460,1,2176,28
0131 CORBELL," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),464,131,131,2,1,1,2349,0,1901,36
0131 CORBELL," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),399,131,131,2,1,1,2349,0,1901,36
0131 CORBELL," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),519,131,131,2,1,1,2349,0,1901,36
0131 CORBELL," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),444,131,131,2,1,1,2349,0,1901,36
0131 CORBELL," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),512,131,131,2,1,1,2349,0,1901,36
0131 CORBELL,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),11,131,131,2,1,1,2349,1,1901,36
0135 CORONA," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),143,135,135,2,1,1,858,0,770,8
0135 CORONA," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),132,135,135,2,1,1,858,0,770,8
0135 CORONA," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),251,135,135,2,1,1,858,0,770,8
0135 CORONA," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),159,135,135,2,1,1,858,0,770,8
0135 CORONA," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),173,135,135,2,1,1,858,0,770,8
0135 CORONA,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),0,135,135,2,1,1,0,1,770,8
0163 DARROW," - HODGE, BERDETTA B.",,0,0,113,107,1,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),184,163,163,2,1,1,896,0,626,10
0163 DARROW," - KLYPE, VIOLA",,0,0,113,107,2,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),138,163,163,2,1,1,896,0,626,10
0163 DARROW," - MCCLENAHAN, DEEANNE",,0,0,113,107,3,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),191,163,163,2,1,1,896,0,626,10
0163 DARROW," - SCHMOLL, BRANDON",,0,0,113,107,4,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),165,163,163,2,1,1,896,0,626,10
0163 DARROW," - SHRIVASTAVA, VEEKAS",,0,0,113,107,5,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),214,163,163,2,1,1,896,0,626,10
0163 DARROW,Write-In Candidate,,0,0,113,107,6,TEMPE UNION 213 GOV BRD - 4YR (vote for 2),4,163,163,2,1,1,896,1,626,10
